gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
912415703	StillImage	image/jpeg	http://www.kew.org/herbcatimg/193807.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912478461	StillImage	image/jpeg	http://www.kew.org/herbcatimg/279650.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912479168	StillImage	image/jpeg	http://www.kew.org/herbcatimg/290204.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912479184	StillImage	image/jpeg	http://www.kew.org/herbcatimg/290208.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912479146	StillImage	image/jpeg	http://www.kew.org/herbcatimg/290210.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912479196	StillImage	image/jpeg	http://www.kew.org/herbcatimg/290205.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912479159	StillImage	image/jpeg	http://www.kew.org/herbcatimg/290207.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912479198	StillImage	image/jpeg	http://www.kew.org/herbcatimg/290212.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912479174	StillImage	image/jpeg	http://www.kew.org/herbcatimg/290211.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912479223	StillImage	image/jpeg	http://www.kew.org/herbcatimg/290209.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912528662	StillImage	image/jpeg	http://www.kew.org/herbcatimg/298007.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912528730	StillImage	image/jpeg	http://www.kew.org/herbcatimg/298051.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912528703	StillImage	image/jpeg	http://www.kew.org/herbcatimg/298050.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912528668	StillImage	image/jpeg	http://www.kew.org/herbcatimg/298014.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912528736	StillImage	image/jpeg	http://www.kew.org/herbcatimg/298024.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912528726	StillImage	image/jpeg	http://www.kew.org/herbcatimg/298023.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912528673	StillImage	image/jpeg	http://www.kew.org/herbcatimg/298006.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912529493	StillImage	image/jpeg	http://www.kew.org/herbcatimg/318086.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912529495	StillImage	image/jpeg	http://www.kew.org/herbcatimg/347453.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912529964	StillImage	image/jpeg	http://www.kew.org/herbcatimg/288091.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912529976	StillImage	image/jpeg	http://www.kew.org/herbcatimg/288093.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912529978	StillImage	image/jpeg	http://www.kew.org/herbcatimg/288092.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912530177	StillImage	image/jpeg	http://www.kew.org/herbcatimg/291889.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912530167	StillImage	image/jpeg	http://www.kew.org/herbcatimg/291891.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912530153	StillImage	image/jpeg	http://www.kew.org/herbcatimg/291886.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912530166	StillImage	image/jpeg	http://www.kew.org/herbcatimg/291884.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912530179	StillImage	image/jpeg	http://www.kew.org/herbcatimg/291890.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912530180	StillImage	image/jpeg	http://www.kew.org/herbcatimg/291888.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912530175	StillImage	image/jpeg	http://www.kew.org/herbcatimg/291883.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912531195	StillImage	image/jpeg	http://www.kew.org/herbcatimg/297382.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912531153	StillImage	image/jpeg	http://www.kew.org/herbcatimg/297381.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912531196	StillImage	image/jpeg	http://www.kew.org/herbcatimg/297397.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912531223	StillImage	image/jpeg	http://www.kew.org/herbcatimg/297398.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912531213	StillImage	image/jpeg	http://www.kew.org/herbcatimg/297393.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912531197	StillImage	image/jpeg	http://www.kew.org/herbcatimg/297394.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912531846	StillImage	image/jpeg	http://www.kew.org/herbcatimg/403620.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912531824	StillImage	image/jpeg	http://www.kew.org/herbcatimg/403619.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912531595	StillImage	image/jpeg	http://www.kew.org/herbcatimg/308535.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912531568	StillImage	image/jpeg	http://www.kew.org/herbcatimg/308534.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912531798	StillImage	image/jpeg	http://www.kew.org/herbcatimg/308550.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912531854	StillImage	image/jpeg	http://www.kew.org/herbcatimg/316643.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912531882	StillImage	image/jpeg	http://www.kew.org/herbcatimg/316648.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912531869	StillImage	image/jpeg	http://www.kew.org/herbcatimg/316642.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912532064	StillImage	image/jpeg	http://www.kew.org/herbcatimg/319155.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912532127	StillImage	image/jpeg	http://www.kew.org/herbcatimg/319154.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912532050	StillImage	image/jpeg	http://www.kew.org/herbcatimg/319156.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912523906	StillImage	image/jpeg	http://www.kew.org/herbcatimg/295901.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912523932	StillImage	image/jpeg	http://www.kew.org/herbcatimg/295900.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
